word	prediction	gold_label
the	NEUTRAL	NEUTRAL
hound	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
baskervilles	NEGATIVE	NEUTRAL
chapter	NEUTRAL	NEUTRAL
1	NEUTRAL	NEUTRAL
:	NEUTRAL	NEUTRAL
mr	NEUTRAL	NEUTRAL
sherlock	NEUTRAL	NEUTRAL
holmes	NEUTRAL	NEUTRAL
mr	NEUTRAL	NEUTRAL
sherlock	NEUTRAL	NEUTRAL
holmes	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
who	NEUTRAL	NEUTRAL
was	NEUTRAL	NEUTRAL
usually	NEUTRAL	NEUTRAL
very	NEUTRAL	NEUTRAL
late	NEUTRAL	NEGATIVE
in	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
mornings	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
save	NEUTRAL	NEUTRAL
upon	NEUTRAL	NEUTRAL
those	NEUTRAL	NEUTRAL
not	NEGATIVE	NEUTRAL
infrequent	NEGATIVE	NEUTRAL
occasions	NEUTRAL	NEUTRAL
when	NEGATIVE	NEUTRAL
he	NEGATIVE	NEUTRAL
stayed	NEGATIVE	NEUTRAL
up	NEUTRAL	NEUTRAL
all	NEUTRAL	NEUTRAL
night	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
was	NEUTRAL	NEUTRAL
seated	NEUTRAL	NEUTRAL
at	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
breakfast	NEUTRAL	NEUTRAL
table	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
stood	NEUTRAL	NEUTRAL
upon	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
hearth - rug	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
picked	NEUTRAL	NEUTRAL
up	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
stick	NEUTRAL	NEUTRAL
which	NEUTRAL	NEUTRAL
our	NEUTRAL	NEUTRAL
visitor	NEUTRAL	NEUTRAL
had	NEUTRAL	NEUTRAL
left	NEUTRAL	NEUTRAL
behind	NEUTRAL	NEUTRAL
him	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
night	NEUTRAL	NEUTRAL
before	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
it	NEUTRAL	NEUTRAL
was	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
fine	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
thick	NEUTRAL	NEUTRAL
piece	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
wood	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
bulbous -	NEUTRAL	NEUTRAL
headed	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
sort	NEUTRAL	NEUTRAL
which	NEUTRAL	NEUTRAL
is	NEGATIVE	NEUTRAL
known	NEUTRAL	NEUTRAL
as	NEGATIVE	NEUTRAL
a	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
penang	NEUTRAL	NEUTRAL
lawyer	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
just	NEGATIVE	NEUTRAL
under	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
head	NEUTRAL	NEUTRAL
was	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
broad	NEGATIVE	NEUTRAL
silver	NEGATIVE	NEUTRAL
band	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
nearly	NEUTRAL	NEUTRAL
an	NEUTRAL	NEUTRAL
inch	NEUTRAL	NEUTRAL
across	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
james	NEUTRAL	NEUTRAL
mortimer	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
mrcs	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
from	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
friends	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
cch	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
was	NEUTRAL	NEUTRAL
engraved	NEUTRAL	NEUTRAL
upon	NEUTRAL	NEUTRAL
it	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
with	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
date	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
1884	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
it	NEGATIVE	NEUTRAL
was	NEUTRAL	NEUTRAL
just	NEUTRAL	NEUTRAL
such	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
stick	NEUTRAL	NEUTRAL
as	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
old - fashioned	NEUTRAL	NEUTRAL
family	NEGATIVE	NEUTRAL
practitioner	NEUTRAL	NEUTRAL
used	NEUTRAL	NEUTRAL
to	NEGATIVE	NEUTRAL
carry	NEUTRAL	NEUTRAL
-	NEUTRAL	NEUTRAL
dignified	NEGATIVE	POSITIVE
,	NEGATIVE	NEUTRAL
solid	NEGATIVE	POSITIVE
,	NEUTRAL	NEUTRAL
and	NEGATIVE	NEUTRAL
reassuring	NEGATIVE	POSITIVE
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
well	NEUTRAL	NEUTRAL
,	NEGATIVE	NEUTRAL
watson	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
what	NEUTRAL	NEUTRAL
do	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
make	NEUTRAL	NEUTRAL
of	NEGATIVE	NEUTRAL
it	NEGATIVE	NEUTRAL
?	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
holmes	NEUTRAL	NEUTRAL
was	NEUTRAL	NEUTRAL
sitting	NEUTRAL	NEUTRAL
with	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
back	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
me	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
had	NEUTRAL	NEUTRAL
given	NEUTRAL	NEUTRAL
him	NEUTRAL	NEUTRAL
no	NEUTRAL	NEUTRAL
sign	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
my	NEUTRAL	NEUTRAL
occupation	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
how	NEGATIVE	NEUTRAL
did	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
know	NEGATIVE	NEUTRAL
what	NEGATIVE	NEUTRAL
i	NEGATIVE	NEUTRAL
was	NEGATIVE	NEUTRAL
doing	NEGATIVE	NEUTRAL
?	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
believe	NEUTRAL	NEUTRAL
you	NEGATIVE	NEUTRAL
have	NEUTRAL	NEUTRAL
eyes	NEGATIVE	NEUTRAL
in	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
back	NEUTRAL	NEUTRAL
of	NEGATIVE	NEUTRAL
your	NEGATIVE	NEUTRAL
head	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
have	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
at	NEUTRAL	NEUTRAL
least	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
well -	NEUTRAL	NEUTRAL
polished	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
silver -	NEGATIVE	NEUTRAL
plated	NEGATIVE	NEUTRAL
coffee - pot	NEUTRAL	NEUTRAL
in	NEUTRAL	NEUTRAL
front	NEGATIVE	NEUTRAL
of	NEGATIVE	NEUTRAL
me	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
